"","(Intercept)","Avg_depth","avg_summer_tmax","AWC","BA_4m_log","cwd_normal_cum","cwd_peak_anom","Diam_log","ENN_dist_log","fdsi_anom","Height","min_ann_ppt","Neighbor_larger_log","peak_tmax","Pndjfm","ppt","tmean","vpd_normal_annual_max","vpd_peak_anom","df","logLik","AICc","delta","weight"
"42",-3.44913828569012,1.01472217415074,NA,NA,0.30509259350138,0.720041346299935,NA,0.754805927418719,-0.132807915730762,-1.01889427461736,-0.641525635732188,NA,0.0439736974475033,NA,NA,NA,NA,NA,NA,10,-476.570453880777,973.236393872666,0,0.735406352221244
"38",-3.5803411255215,1.0688922126843,NA,-0.464495331778705,0.317731523156592,NA,NA,0.757325526659487,-0.131766483743316,-1.50941196161534,-0.63295994461149,NA,0.0523576886576654,NA,NA,NA,NA,NA,NA,10,-478.861920835377,977.819327781864,4.58293390919812,0.0743628323634781
"50",-3.51694460313341,1.08329335224433,NA,NA,0.312143531858639,NA,-0.386079754559633,0.749542123292031,-0.13653687075249,-1.27869201941264,-0.631740523369425,NA,0.0465839207246198,NA,NA,NA,NA,NA,NA,10,-479.388199461982,978.871885035075,5.63549116240938,0.0439335218956895
"34",-3.57167732924133,1.11874846007835,NA,NA,0.313390543294018,NA,NA,0.748006846725486,-0.1300185234494,-1.45033950030623,-0.627985103718415,NA,0.0485477121050886,NA,NA,NA,NA,NA,NA,9,-480.471527214838,979.021145535967,5.78475166330065,0.0407741121931443
"162",-3.58346831049489,1.07931869290831,NA,NA,0.308947313390282,NA,NA,0.742559757064355,-0.126658165352972,-1.62739107317143,-0.620326457138618,NA,0.0480511268013713,0.295136611697897,NA,NA,NA,NA,NA,10,-479.694612496255,979.484711103621,6.24831723095463,0.032338697920167
"546",-3.56487808597868,1.12641867346746,NA,NA,0.311244024607201,NA,NA,0.746190360919623,-0.141606563540151,-1.28411265479681,-0.624941515260972,NA,0.0520243018889333,NA,NA,-0.320941257973965,NA,NA,NA,10,-479.919319480259,979.93412507163,6.69773119896354,0.025830542436145
"98",-3.5724327609185,1.13407084546822,NA,NA,0.314114698561342,NA,NA,0.750044920211183,-0.136999859398026,-1.35639174802691,-0.627912989472944,-0.173053856026154,0.0496849664530207,NA,NA,NA,NA,NA,NA,10,-480.30928865155,980.71406341421,7.47766954154429,0.0174892854922016
"290",-3.56819658822577,1.12386271024316,NA,NA,0.309079215073323,NA,NA,0.743211786193008,-0.137720537496417,-1.38990471513521,-0.624575671736195,NA,0.0468575561360286,NA,-0.119257396279074,NA,NA,NA,NA,10,-480.39246979909,980.880425709291,7.64403183662535,0.0160933684286351
"1034",-3.4583847504291,1.04024162884134,NA,NA,0.300479297878743,0.955677598914586,NA,0.738937003192363,-0.145549214690769,NA,-0.622225325292021,NA,0.0453197792433852,NA,NA,NA,0.720752711706703,NA,NA,10,-480.92714980394,981.949785718991,8.71339184632484,0.00942840822587584
"2058",-3.41100280660233,1.02890609065373,NA,NA,0.304813624766215,1.01170489890314,NA,0.750211488182727,-0.141955780934384,NA,-0.628960344655673,NA,0.0491272722080144,NA,NA,NA,NA,0.62549922863912,NA,10,-481.702339635805,983.500165382721,10.2637715100554,0.00434287882341967
