"","site","Avg_pdc","Avg_delta_pdc","prop_died","n.died","Cluster","Avg_depth","Pct_pimo","avg_height","avg_Diam","avg_ENN","fdsi_anom","BA.Plot","cwd_normal_cum","cwd_peak_anom","vpd_normal_annual_max","vpd_peak_anom","avg_summer_tmax","peak_tmax","min_ann_ppt","tmean","ppt","Pndjfm","AWC"
"1","DES1014",72.8571428571429,-14.375,0.636363636363636,35,"DES1014",0.165538531218264,1.25305909468395,1.06648602060449,0.471845332400513,-0.593010713554469,-1.0216530007998,1.48995105801052,0.582943227216783,-0.413529947817391,0.397096290792701,-0.752510278757733,1.01783387359401,-0.838087069593126,-1.07266382769594,0.5968788590804,-1.15393087494441,-1.20634818034744,-0.115051882671269
"2","DES1014120",40.4464285714286,-14.0178571428571,0.109756097560976,9,"DES1014",-0.0826941897229971,0.516423753394149,0.863580535108769,-0.373407182956566,-0.621639264142369,-1.0216530007998,0.655844029944073,0.582943227216783,-0.413529947817391,0.397096290792701,-0.752510278757733,1.01783387359401,-0.838087069593126,-1.07266382769594,0.5968788590804,-1.15393087494441,-1.20634818034744,-1.68873543809322
"3","DES1014240",50.0877192982456,-1.75438596491228,0.411764705882353,21,"DES1014",1.42205673450119,1.00216801452008,0.989576784010332,0.367594500715175,-0.817921853673749,-0.944984790779445,1.77985792910131,0.582943227216783,-0.413529947817391,-1.15993101118986,1.13377403737248,-0.874984625743853,0.0706588216282179,0.163700404562595,-0.685230266149994,0.637743242158282,0.406842921828536,0.0683385974113233
"4","DES1014360",44.25,-15.25,0.116279069767442,5,"DES1014",-0.842746952274997,1.01588166059287,1.12236965431043,-0.32454883128468,-0.590790517575265,-1.0216530007998,-0.22993863990588,0.582943227216783,-0.413529947817391,0.397096290792701,-0.752510278757733,1.01783387359401,-0.838087069593126,-1.07266382769594,0.5968788590804,-1.15393087494441,-1.20634818034744,0.0733703346673339
"5","DES105",61.5384615384615,-0.769230769230769,0.613636363636364,27,"DES105",-0.289981306782633,1.49174709798016,-0.460191486430132,-0.0695570848268177,-0.566760159187964,-1.12483026967017,0.57989969413393,-0.60106434083645,-0.0664655674686639,1.819620875375,-1.11242604226958,1.69047295350566,-1.43040311457598,-1.25979260768482,1.87898957225277,-1.32513582665241,-1.214314767114,0.150200328180206
"6","DES105120",23.1818181818182,-6.81818181818182,0.111111111111111,2,"DES105",-0.059662287827482,1.49174709798016,-0.644086589209726,-0.793546822544774,2.77215829944157,-1.12483026967017,-1.51401189756965,-0.60106434083645,-0.0664655674686639,1.819620875375,-1.11242604226958,1.69047295350566,-1.43040311457598,-1.25979260768482,1.87898957225277,-1.32513582665241,-1.214314767114,-0.275888421701934
"7","DES105240",60.9090909090909,-20.4545454545455,0.333333333333333,6,"DES105",0.0554972216500936,1.13876010936296,0.198717059985134,0.822885900480608,2.02206183814148,-1.12483026967017,-1.39958798649979,-0.60106434083645,-0.0664655674686639,1.819620875375,-1.11242604226958,1.69047295350566,-1.43040311457598,-1.25979260768482,1.87898957225277,-1.32513582665241,-1.214314767114,-1.62004726850337
"8","DES105360",29.7777777777778,-13.6666666666667,0.106060606060606,7,"DES105",0.539167161455911,1.49174709798016,-0.0825166745704813,-1.50809436915785,-0.854012805306711,-1.12483026967017,-0.96194675752317,-0.60106434083645,-0.0664655674686639,1.819620875375,-1.11242604226958,1.69047295350566,-1.43040311457598,-1.25979260768482,1.87898957225277,-1.32513582665241,-1.214314767114,-0.00408527071329814
"9","DES998",20.2758620689655,-2,0.0333333333333333,1,"DES998",-0.865778854170512,0.773310493445289,1.47464060605058,0.842585290361107,0.255141080806361,-1.01571337007384,-0.112469599956932,0.725078211029489,-0.991849735880466,-0.514057159075296,-1.83333285025719,0.567532894243482,-1.17767396370459,-1.24728904967253,-0.135754699916679,-1.27674356853981,-1.42937970387205,0.548318597130045
"10","DES998120",27.2727272727273,-7.72727272727273,0,0,"DES998",-1.39551259776736,-1.52050303245257,-1.37232964943474,1.04876085570162,2.60635084793089,-1.01571337007384,-0.961739430024209,0.725078211029489,-0.991849735880466,-0.514057159075296,-1.83333285025719,0.567532894243482,-1.17767396370459,-1.24728904967253,-0.135754699916679,-1.27674356853981,-1.42937970387205,-0.398292202960762
"11","DES998240",19.5833333333333,-4.16666666666667,0.04,1,"DES998",-0.865778854170512,0.587601985449239,0.663276295443892,0.0304920315718692,0.637900680350835,-1.01571337007384,-0.762445871648059,0.725078211029489,-0.991849735880466,-0.514057159075296,-1.83333285025719,0.567532894243482,-1.17767396370459,-1.24728904967253,-0.135754699916679,-1.27674356853981,-1.42937970387205,-0.980719375210218
"12","DES998360",47.2727272727273,-13.1818181818182,0.24,6,"DES998",-0.336045110573664,-0.398660162096221,1.71378900869751,3.36932546873121,1.33702223446748,-1.01571337007384,1.31271404078521,0.949656469161382,-1.06471899201152,-0.514057159075296,-1.83333285025719,0.567532894243482,-1.17767396370459,-1.24728904967253,-0.135754699916679,-1.27674356853981,-1.42937970387205,1.37382712247178
"13","DIA248",28.1578947368421,-11.8421052631579,0.0909090909090909,2,"DIA248",0.677358572829002,-0.469571277531377,-0.190065745511962,0.811316079877726,0.540486658698029,1.29996443618141,-0.575075682149374,-1.75366932977655,1.19354593559939,-1.92512479473776,1.15282955375771,-1.6989740168854,0.854208625695616,1.89342352603082,-1.91738829422343,1.94703631698125,1.73733028196705,-1.67701407927559
"14","DIA248120",30.7142857142857,-28.5714285714286,0,0,"DIA248",0.35491194629179,1.49174709798016,1.44093244921377,0.126624739123398,2.25510770230888,1.29996443618141,-1.51772669104576,-1.75366932977655,1.19354593559939,-1.92512479473776,1.15282955375771,-1.6989740168854,0.854208625695616,1.89342352603082,-1.91738829422343,1.94703631698125,1.73733028196705,0.315930034385568
"15","DIA248240",20.3333333333333,-18.3333333333333,0,0,"DIA248",-0.49726842384227,1.49174709798016,1.27302992598759,-0.0256652926727684,0.729975594212268,1.29996443618141,-1.19202664140636,-1.75366932977655,1.19354593559939,-1.92512479473776,1.15282955375771,-1.6989740168854,0.854208625695616,1.89342352603082,-1.91738829422343,1.94703631698125,1.73733028196705,2.21249841998056
